quiz_id,position,question,option_1,option_2,option_3,option_4,correct_index,correct_answer
animals,7,[Set 4] What is the only mammal that can fly?,Flying squirrel,Bat,Sugar glider,Colugo,1,Bat
animals,8,[Set 4] How many hearts does an octopus have?,1,2,3,4,2,3
animals,9,[Set 4] Which animal has the longest lifespan?,Elephant,Tortoise,Bowhead Whale,Greenland Shark,2,Bowhead Whale
animals,10,[Set 4] What is a baby kangaroo called?,Cub,Joey,Pup,Fawn,1,Joey
food,1,[Set 4] What is the main ingredient in guacamole?,Cucumber,Avocado,Peas,Zucchini,1,Avocado
food,2,[Set 4] Sushi originated in which country?,China,Thailand,Korea,Japan,3,Japan
food,3,[Set 4] Which spice is the most expensive by weight?,Vanilla,Cardamom,Saffron,Cinnamon,2,Saffron
food,4,[Set 4] Which fruit is traditionally used to make wine?,Apple,Grapes,Cherry,Peach,1,Grapes
food,5,[Set 4] Cheese is primarily made from what?,Milk,Eggs,Flour,Cream of tartar,0,Milk
food,6,[Set 4] What is the main ingredient in hummus?,Lentils,Chickpeas,Beans,Peas,1,Chickpeas
food,7,[Set 4] Which country is famous for its pizza and pasta?,France,Spain,Italy,Greece,2,Italy
food,8,[Set 4] What is the most widely eaten meat in the world?,Beef,Chicken,Pork,Lamb,2,Pork
food,9,[Set 4] Which vegetable is known to help you see in the dark?,Tomato,Carrot,Spinach,Potato,1,Carrot
food,10,[Set 4] What gives chili peppers their heat?,Vitamin C,Capsaicin,Caffeine,Pectin,1,Capsaicin
